Date,Course,Off,Name,Type,Class,Pattern,Rating_Band,Age_Band,Sex_Rest,Dist,Dist_Y,Dist_M,Dist_F,Going,Num,Pos,Ran,Draw,Btn,Ovr_Btn,Horse,SP,Dec,Age,Sex,Wgt,Lbs,HG,Time,Jockey,Trainer,OR,RPR,TS,Prize,Sire,Dam,Damsire,Owner,Comment
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,4,1,10,2,0,0,Never Dark (GB),2/1F,3.00,3,C,9-4,130,,0:59.67,David Probert,Andrew Balding,74,,,3493.26,No Nay Never (USA),Dark Missile (GB),Night Shift,J C Smith,Made all - ridden 2f out - kept on inside final furlong - always doing enough(op 7/4)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,6,2,10,1,1.25,1.25,Newyorkstateofmind (GB),3/1,4.00,3,G,9-4,130,,0:59.92,Martin Dwyer,William Muir,74,,,1039.50,Brazen Beau (AUS),Albany Rose (IRE),Noverre,Purple Lilac Racing Spotted Dog Pship,Took keen hold - reared start - soon pushed along - chased leaders on inner - switched left and ridden over 2f out - kept on well inside final furlong - went second towards finish - did well in the circumstances(op 4/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,9,3,10,5,1.5,2.75,Roman Melody (GB),12/1,13.00,3,G,9-3,129,,1:0.22,William Carson,David Elsworth,73,,,519.48,Holy Roman Emperor (IRE),Gift Of Music (IRE),Cadeaux Genereux,J C Smith,In rear - ridden briefly after 2f - ridden and outpaced over 2f out - kept on strongly from over 1f out - went third post(op 10/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,7,4,10,3,0.05,2.75,Spirit Of The Sky (GB),14/1,15.00,3,F,9-1,127,,1:0.23,Connor Murtagh,Richard Fahey,74,,,259.74,Swiss Spirit (GB),Clouds Rest (GB),Showcasing,Racegoers Club Owners Group,Hung left soon after start - tracked leaders - ridden 2f out - no extra final 110yds - lost third post (jockey said filly hung left-handed off the bend)(op 11/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,1,5,10,7,2.25,5,Colonel Whitehead (IRE),20/1,21.00,3,C,9-5,131,,1:0.67,George Wood,Heather Main,75,,,,Showcasing (GB),Lady Brigid (IRE),Holy Roman Emperor,Andrew Tuck And Wetumpka Racing,Close up - ridden over 2f out - no extra and weakened from over 1f out(tchd 22/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,10,6,10,4,2.25,7.25,Lady Fanditha (IRE),9/2,5.50,3,F,9-2,128,,1:1.12,Adam Kirby,Clive Cox,72,,,,Kodiac (GB),Lady Ro (GB),Showcasing,Peter Ridgers,Always towards rear - bumped and ridden soon after start - pushed along after 2f - ridden and outpaced 2f out - made no impression(op 5/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,3,7,10,9,0.2,7.5,Zulu Zander (IRE),50/1,51.00,3,G,9-5,131,,1:1.21,Harry Bentley,David Evans,75,,,,Bungle Inthejungle (GB),Fig Digliani (IRE),Fasliyev,John Wilcox P D Evans,Took keen hold - always towards rear - bit short of room and ridden after 2f - not pace to challenge(op 33/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,5,8,10,10,1.75,9.25,Dandizette (IRE),33/1,34.00,3,F,9-4,130,,1:1.52,Barry McHugh,Adrian Nicholls,74,,,,Dandy Man (IRE),Interlacing (GB),Oasis Dream,Northumbria Leisure Ltd,Edged left soon after start - chased leaders about four wide - ridden 2f out - soon weakened(op 20/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,2,9,10,6,1.25,10.5,Agent Shiftwell (GB),8/1,9.00,3,G,9-5,131,,1:1.77,Sean Levey,Stuart Williams,75,,,,Equiano (FR),Holley Shiftwell (GB),Bahamian Bounty,J W Parry,Took keen hold - chased leaders - ridden and no response 2f out - weakened over 1f out (jockey said gelding hung left-handed off the bend)(op 10/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,8,10,10,8,1.5,12,Port Winston (IRE),125/1,126.00,3,G,9-3,129,h,1:2.07,Lewis Edmunds,Milton Bradley,73,,,,Harbour Watch (IRE),Volkovkha (GB),Holy Roman Emperor,E A Hayward,Never better than mid-division - ridden and outpaced halfway - dropped to rear 2f out(op 66/1)
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,2,1,10,1,0,0,Han Solo Berger (IRE),9/2,5.50,5,G,9-5,131,,1:0.38,George Wood,Chris Wall,77,,,4690.02,Lord Shanakill (USA),Dreamaway (IRE),Oasis Dream,Mrs B Berresford,Close up - ridden over 1f out - kept on to lead final 110yds - all out
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,6,2,10,10,0.3,0.3,May Remain (GB),11/1,12.00,5,G,9-3,129,p,1:0.44,Pat Cosgrave,George Baker,75,,,1395.62,Mayson (GB),Ultimate Best (GB),Kings Best,Guards Club Racing Limited,Midfield - ridden and edged right over 1f out - kept on well inside final furlong - went second towards finish
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,7,3,10,8,.5,.75,Just Glamorous (IRE),12/1,13.00,7,G,9-3,129,,1:0.53,Rossa Ryan,Christopher Mason,75,,,697.45,Arcano (IRE),Glamorous Air (IRE),Air Express,Robert Nina Bailey,Started quickly - soon led - ridden from over 1f out - no extra and headed final 110yds - lost second towards finish
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,4,4,10,9,0.3,1,Peggie Sue (GB),25/1,26.00,5,M,9-3,129,,1:0.58,Tom Marquand,Adam West,75,,,348.73,Captain Gerrard (IRE),Aunt Minnie (GB),Night Shift,West Racing Partnership,In rear - ridden and headway from over 2f out - kept on well but edged right inside final furlong
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,5,5,10,4,1.75,2.75,Griggy (IRE),9/2,5.50,4,G,9-3,129,b,1:0.93,Adam Kirby,Sean Curran,75,,,,Dandy Man (IRE),Joint Destiny (IRE),Desert Prince,Power Geneva Ltd,Towards rear of midfield - going okay but not clear run under 2f out - switched left in the clear over 1f out - ridden and kept on inside final furlong - nearest finish
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,3,6,10,7,.5,3.25,Spirited Guest (GB),9/2,5.50,4,G,9-5,131,,1:1.03,Tom Queally,George Margarson,77,,,,Swiss Spirit (GB),Choisette (GB),Choisir,John Guest Racing,Close up about four wide - ridden over 1f out - weakened final 110yds
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,1,7,10,2,2.75,6,Pink Flamingo (GB),12/1,13.00,4,F,9-6,132,,1:1.58,Harry Bentley,Michael Attwater,78,,,,Dream Ahead (USA),Naivasha (GB),Captain Gerrard,Dare To Dream Racing,Midfield - pushed along and outpaced from over 1f out - stayed on inside final furlong
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,8,8,10,6,.5,6.5,Kodiak Attack (IRE),4/1F,5.00,4,G,9-2,128,,1:1.68,Jason Watson,Sylvester Kirk,74,,,,Kodiac (GB),Good Clodora (IRE),Red Clubs,Mrs J Fowler,Close up - nudged along 3f out - ridden from over 1f out - weakened inside final furlong
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,9,9,10,5,1.75,8.25,Waseem Faris (IRE),125/1,126.00,11,G,9-2,128,,1:2.03,Pat Dobbs,Milton Harris,74,,,,Exceed And Excel (AUS),Kissing Time (GB),Lugana Beach,M F Harris,Took keen hold - held up in rear - never on terms
2020-06-03,kempton-aw,1:35,Unibet Money Back Free Bet If Second Handicap,,Class 4,,0-78,4yo+,,5f,1100,1006,5f,Standard To Slow,10,10,10,3,9,17.25,You're Cool (GB),12/1,13.00,8,G,9-2,128,t,1:3.83,Lewis Edmunds,Derek Shaw,74,,,,Exceed And Excel (AUS),Ja One (IRE),Acclamation,D Bichan F Connor,Towards rear of midfield - nudged along 2f out - ridden from over 1f out - weakened quickly inside final furlong - eased - burst blood vessel
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,11,1,11,2,0,0,Shatha (USA),66/1,67.00,3,F,8-11,123,,2:6.77,Tom Marquand,Charles Hills,,,,3493.26,Muhaarar (GB),Lears Princess (USA),Lear Fan,Hamdan Al Maktoum,Chased leaders on inner - niggled along and headway 3f out - ridden and made strong challenge over 1f out - led final 110yds - just did enough(tchd 50/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,8,2,11,1,0.1,0.1,Lightness (IRE),6/1,7.00,3,F,8-11,123,,2:6.81,Nicky Mackay,John Gosden,,,,1039.50,Shamardal (USA),Serene Beauty (USA),Street Cry,The Queen,Soon led - tracked leaders after 2f - ridden and made strong challenge under 2f out - led over 1f out - kept on but headed final 110yds(op 15/2 tchd 17/2)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,10,3,11,12,2.5,2.5,Rozalia (GB),150/1,151.00,3,F,8-11,123,,2:7.27,George Wood,James Fanshawe,,,,519.48,Sir Percy (GB),Lady Stardust (GB),Spinning World,Somerton Sporting Club,Held up in rear on inner - headway but bit short of room 3f out - ridden and switched left under 2f out - kept on inside final furlong - no impression towards finish(op 100/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,3,4,11,9,1.75,4.25,Asiaaf (GB),33/1,34.00,3,F,8-11,123,,2:7.62,Jim Crowley,Marcus Tregoning,,,,259.74,New Approach (IRE),Baqqa (IRE),Shamardal,Hamdan Al Maktoum,Held up in rear - pushed along and headway under 3f out - ridden from 2f out - switched right and kept on well over 1f out - went fourth final 110yds - promising(op 28/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,4,5,11,3,1,5.25,Au Clair De Lune (IRE),80/1,81.00,3,F,8-11,123,,2:7.82,Harry Bentley,George Scott,,,,,Sea The Stars (IRE),Missunited (IRE),Golan,Mrs V B Hutch,Chased leaders - pushed along briefly 6f out - ridden and outpaced 2f out - kept on final furlong(op 50/1 tchd 100/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,5,6,11,10,1,6.25,Dusk (IRE),10/1,11.00,3,F,8-11,123,,2:8.02,Ryan Moore,Sir Michael Stoute,,,,,Galileo (IRE),Dank (GB),Dansili,James Wigan,Tracked leader - ridden 3f out - no extra and weakened gradually from 2f out(op 7/1 tchd 11/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,7,7,11,8,2.75,9,Horn Of Plenty (GB),40/1,41.00,3,F,8-11,123,,2:8.57,David Probert,Andrew Balding,,,,,Golden Horn (GB),Gaze (GB),Galileo,Mildmay Racing,Ran in snatches - awkward start - midfield - bit short of room under 4f out - soon ridden and outpaced - made no impression(op 33/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,12,8,11,11,1.25,10.25,Sun Bear (GB),8/13F,1.62,3,F,8-11,123,,2:8.82,Frankie Dettori,John Gosden,,,,,Dubawi (IRE),Great Heavens (GB),Galileo,Lady Bamford,Led after 2f - ridden 2f out - headed over 1f out - weakened quickly inside final furlong (trainers rep could offer no explanation for the poor performance)(op 8/11)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,2,9,11,5,6.5,16.75,Anointed (GB),22/1,23.00,3,F,8-11,123,,2:10.12,Kieran ONeill,John Gosden,,,,,Invincible Spirit (IRE),Sariska (GB),Pivotal,Lady Bamford,Took keen hold - dwelt start - towards rear - ridden over 3f out - raced wide home turn - hung right and weakened from under 2f out(op 20/1 tchd 25/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,9,10,11,7,3.5,20.25,Quick Waltz (GB),50/1,51.00,3,F,8-11,123,,2:10.82,Jason Watson,Sir Michael Stoute,,,,,Australia (GB),Momentary (GB),Nayef,The Queen,Slowly into stride - soon ran green and became detached - ridden and headway over 5f out - pushed along over 3f out - weakened from 2f out (jockey said filly was slowly away and ran green)(op 40/1)
2020-06-03,kempton-aw,2:10,Unibet 3 Uniboosts A Day Confined Fillies Novice Stakes (Fillies That Have Run No More Than Once),,Class 5,,,3yo+,F,1m2f,2199,2011,10f,Standard To Slow,1,11,11,4,9,29.25,Divina Gloria (FR),9/2,5.50,3,F,9-4,130,,2:12.62,Andrea Atzeni,Kevin Ryan,,,,,Dabirsim (FR),Amouage (GER),Tiger Hill,Sheikh Mohammed Obaid Al Maktoum,Chased leaders - headway and close up over 6f out - ridden under 4f out - hung left home turn - weakened from under 2f out (jockey said filly hung badly left-handed round the bend)(op 4/1 tchd 5/1)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,2,1,9,6,0,0,Berlin Tango (GB),7/1,8.00,3,C,9-1,127,,2:6.70,David Probert,Andrew Balding,98,,,20982.70,Dansili (GB),Fantasia (GB),Sadlers Wells,George Strawbridge,Took keen hold - chased leaders - headway going best from 3f out - ridden and led under 2f out - edged left but kept on well inside final furlong - always doing enough(op 15/2)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,7,2,9,11,1.25,1.25,Pyledriver (GB),40/1,41.00,3,C,9-1,127,,2:6.95,Martin Dwyer,William Muir,103,,,7955,Harbour Watch (IRE),La Pyle (FR),Le Havre,Knox Wells Limited And R W Devlin,Held up in rear - pushed along over 4f out - bit short of room over 3f out - ridden and good headway from over 2f out - went second inside final furlong - always held(op 25/1)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,3,3,9,4,2.75,4,Bright Melody (IRE),9/2,5.50,3,G,9-1,127,,2:7.50,William Buick,Charlie Appleby,,,,3981.20,Dubawi (IRE),Lyric Of Light (GB),Street Cry,Godolphin,Slowly into stride - pushed along soon after start - midfield - bit short of room 3f out - soon ridden - kept on well from over 1f out - went third towards finish(op 6/1)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,5,4,9,7,.75,4.75,Hypothetical (IRE),15/8F,2.88,3,C,9-1,127,,2:7.65,Frankie Dettori,John Gosden,,,,1983.20,Lope De Vega (IRE),Peut Etre (IRE),Whipper,Sheikh Hamdan Bin Mohammed Al Maktoum,Took keen hold - close up - ridden and every chance under 2f out - no extra and weakened from 1f out(op 9/4)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,6,5,9,10,1.25,6,Max Vega (IRE),100/30,4.33,3,C,9-1,127,,2:7.90,Harry Bentley,Ralph Beckett,110,,,995.30,Lope De Vega (IRE),Paraphernalia (IRE),Dalakhani,The Pickford Hill Partnership,Towards rear - nudged along after 2f - good headway on outer 5f out - ridden under 3f out - outpaced and weakened from 2f out(tchd 3/1 and tchd 7/2)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,11,6,9,1,1.5,7.5,Chamade (GB),100/1,101.00,3,F,8-12,124,b,2:8.20,Richard Kingscote,Ralph Beckett,,,,499.50,Sepoy (AUS),Colima (IRE),Authorized,Mr And Mrs David Aykroyd,Led - ridden over 2f out - soon headed and weakened(tchd 125/1)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,10,7,9,8,.5,8,Born With Pride (IRE),5/1,6.00,3,F,8-12,124,,2:8.30,Tom Marquand,William Haggas,,,,,Born To Sea (IRE),Jumooh (GB),Monsun,Sunderland Holding Inc,Slowly into stride - held up in rear - pushed along 4f out - outpaced and raced wide home turn - kept on but no impression inside final furlong (jockey said filly was slowly away)(op 3/1 tchd 11/2)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,1,8,9,2,4.5,12.5,Night Colours (IRE),40/1,41.00,3,F,9-2,128,,2:9.20,Jim Crowley,Simon & Ed Crisford,101,,,,Night Of Thunder (IRE),Many Colours (GB),Green Desert,Hussain Alabbas Lootah,Chased leaders on inner - ridden 4f out - weakened over 2f out(tchd 33/1)
2020-06-03,kempton-aw,2:45,Unibet Classic Trial Stakes ,,Class 1,,,3yo,,1m2f,2199,2011,10f,Standard To Slow,8,9,9,9,2,14.5,Tom Collins (GB),50/1,51.00,3,C,9-1,127,,2:9.60,William Carson,David Elsworth,84,,,,Dubawi (IRE),Cocktail Queen (IRE),Motivator,J C Smith,Chased leaders - ridden 4f out - weakened from over 2f out(op 33/1)
2020-06-03,kempton-aw,3:20,Unibet Extra Place Offers Every Day Handicap,,Class 5,,0-72,4yo+,,7f,1540,1408,7f,Standard To Slow,4,1,11,4,0,0,Gossiping (GB),13/8F,2.62,8,G,9-3,129,,1:26.23,Andrea Atzeni,Gary Moore,72,,,3493.26,Dubawi (IRE),Gossamer (GB),Sadlers Wells,The Buckwell Boys,Took keen hold - held up in midfield - going easily 2f out - headway over 1f out - pushed along to lead inside final furlong - ridden towards finish - always doing enough (trainer said - regards the apparent improvement in form - the gelding always comes to hand at this time of year and benefitted from the drop in grade)
2020-06-03,kempton-aw,3:20,Unibet Extra Place Offers Every Day Handicap,,Class 5,,0-72,4yo+,,7f,1540,1408,7f,Standard To Slow,7,2,11,9,.5,.5,Plunger (GB),4/1,5.00,5,G,9-2,128,,1:26.33,Lewis Edmunds,John Butler,71,,,1039.50,Helmet (AUS),Percolator (GB),Kheleyf,J Butler,Close up - ridden and led under 2f out - headed inside final furlong - no extra inside final 110yds
2020-06-03,kempton-aw,3:20,Unibet Extra Place Offers Every Day Handicap,,Class 5,,0-72,4yo+,,7f,1540,1408,7f,Standard To Slow,2,3,11,1,.75,1.25,Suzi's Connoisseur (GB),33/1,34.00,9,G,9-3,129,p,1:26.48,J F Egan,Jane Chapple-Hyam,72,,,519.48,Art Connoisseur (IRE),Suzi Spends (IRE),Royal Applause,Mrs Jane Chapple Hyam,Midfield on inner - switched left and headway 2f out - ridden over 1f out - kept on well inside final furlong - went third towards finish
2020-06-03,kempton-aw,3:20,Unibet Extra Place Offers Every Day Handicap,,Class 5,,0-72,4yo+,,7f,1540,1408,7f,Standard To Slow,10,4,11,5,0.1,1.25,Oloroso (IRE),7/2,4.50,4,G,8-13,125,,1:26.50,Joshua Bryan,Andrew Balding,71,,,259.74,Fast Company (IRE),Convidada (IRE),Trans Island,Roger Hetherington Jeremy Carey,Took keen hold - towards rear of midfield - going okay on inner 2f out - ridden and headway from over 1f out - no extra final 110yds - lost third towards finish
