Date,Course,Off,Name,Type,Class,Pattern,Rating_Band,Age_Band,Sex_Rest,Dist,Dist_Y,Dist_M,Dist_F,Going,Num,Pos,Ran,Draw,Btn,Ovr_Btn,Horse,SP,Dec,Age,Sex,Wgt,Lbs,HG,Time,Jockey,Trainer,OR,RPR,TS,Prize,Sire,Dam,Damsire,Owner,Comment
2020-06-03,yarmouth,3:05,#betyourway At Betway Novice Stakes (Div I),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,1,8,10,7,0.3,10.75,Angelic Time (IRE),12/1,13.00,3,C,9-9,135,,1:23.47,Hollie Doyle,Ed Vaughan,,,,,Dark Angel (IRE),Danetime Out (IRE),Danetime,Phoenix Thoroughbred Limited,Midfield - ridden over 2f out - soon weakened(tchd 14/1)
2020-06-03,yarmouth,3:05,#betyourway At Betway Novice Stakes (Div I),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,11,9,10,10,8.5,19.25,Belynda (IRE),250/1,251.00,3,F,8-8,120,,1:25.17,Gabriele Malune,Amy Murphy,,,,,Nathaniel (IRE),American Spirit (IRE),Rock Of Gibraltar,D De Souza,Always towards rear - never on terms
2020-06-03,yarmouth,3:05,#betyourway At Betway Novice Stakes (Div I),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,9,10,10,11,4.75,24,Fair Man (GB),50/1,51.00,3,C,9-2,128,,1:26.12,Jimmy Quinn,Marco Botti,,,,,Kingman (GB),Fair Dubawi (IRE),Dubawi,Scuderia Blueberry Srl,Took keen hold - towards rear - ridden and weakened from 3f out - eased towards finish(op 66/1 tchd 80/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,5,1,11,8,0,0,Haqeeqy (IRE),3/1,4.00,3,C,9-2,128,,1:21.40,Dane ONeill,John Gosden,,,,3493.26,Lope De Vega (IRE),Legal Lyric (IRE),Lawman,Ms Hissa Hamdan Al Maktoum,Chased leaders - ridden and headway 2f out - led 1f out - ran on well inside final furlong - readily(op 10/3 tchd 7/2)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,7,2,11,5,2.5,2.5,Vitare (IRE),100/1,101.00,3,G,9-2,128,,1:21.90,Charles Bishop,Mick Channon,,,,1039.50,Sidestep (AUS),Question (USA),Coronados Quest,Box 41,Close up - ridden and led over 2f out - headed 1f out - ran on but no match for winner(op 80/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,3,3,11,10,0.3,2.75,Ametist (GB),9/2,5.50,3,G,9-2,128,,1:21.95,James Doyle,William Haggas,,,,519.48,Dutch Art (GB),Zykina (GB),Pivotal,Cheveley Park Stud,Midfield - ridden over 2f out - ran on well inside final furlong - nearest finish(op 11/2 tchd 4/1 and tchd 6/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,2,4,11,7,1.5,4.25,Higher Kingdom (GB),10/11F,1.91,3,C,9-9,135,,1:22.25,Daniel Tudhope,Archie Watson,,,,259.74,Kingman (GB),Noozhah (GB),Singspiel,Clipper Logistics,Led - ridden and headed over 2f out - weakened and flashed tail inside final furlong - lost third towards finish(op 6/5 tchd 11/8)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,1,5,11,9,3.5,7.75,All You Wish (GB),6/1,7.00,3,C,9-9,135,,1:22.95,Oisin Murphy,Andrew Balding,,,,,Showcasing (GB),Moment Of Time (GB),Rainbow Quest,M M Stables,Slowly into stride - towards rear - headway into midfield 5f out - ridden 2f out - no impression inside final furlong(op 4/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,6,6,11,2,3.5,11.25,Inner Treasures (GB),66/1,67.00,3,G,9-2,128,b1,1:23.65,Jimmy Quinn,Marco Botti,,,,,Gleneagles (IRE),Native Picture (IRE),Kodiac,Aldo E Carlo Borsani Snc 1,Pulled hard - midfield - weakened gradually from over 2f out(op 40/1 tchd 33/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,4,7,11,3,0.1,11.5,Dutugamunu (IRE),50/1,51.00,3,C,9-2,128,,1:23.72,Stevie Donohoe,Richard Spencer,,,,,Ivawood (IRE),Bunditten (IRE),Soviet Star,Balasuriyacookcunninghamgowingspencer,Took keen hold - in rear halfway - ridden and weakened over 2f out(op 40/1 tchd 66/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,9,8,11,4,3,14.5,Like Sugar (GB),33/1,34.00,3,F,8-8,120,,1:24.30,Megan Nicholls,Richard Fahey,,,,,Showcasing (GB),Ivory Gala (FR),Galileo,John Dance,Always towards rear - struggling from 3f out(op 25/1 tchd 22/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,11,9,11,6,1,15.5,Shandrani Sunrise (GB),80/1,81.00,3,F,8-11,123,,1:24.50,Hayley Turner,Stuart Williams,,,,,Sir Percy (GB),Acclamatory (GB),Royal Applause,Mrs C Shekells,Dwelt start - pulled hard - always towards rear(op 66/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,8,10,11,11,1.75,17.25,Dendermonde (GB),250/1,251.00,3,F,8-8,120,,1:24.85,Darragh Keenan,Anthony Carson,,,,,Sir Percy (GB),Laraib (IRE),Invincible Spirit,Clive Dennett,Always towards rear - never on terms(op 125/1)
2020-06-03,yarmouth,3:40,#betyourway At Betway Novice Stakes (Div II),,Class 5,,,3yo,,7f,1543,1411,7f,Firm,10,11,11,1,24,41.25,Rhythmic Motion (GB),250/1,251.00,3,F,8-11,123,,1:29.65,Shane Kelly,Jim Boyle,,,,,Toronado (IRE),Sonnetation (IRE),Dylan Thomas,The In Recovery Partnership,Raced freely - tracked leaders - ridden and weakened gradually from over 2f out - heavily eased
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,4,1,10,1,0,0,Maydanny (IRE),4/1F,5.00,4,G,9-5,131,,1:33.00,Dane ONeill,Mark Johnston,80,,,4690.02,Dubawi (IRE),Attraction (GB),Efisio,Hamdan Al Maktoum,Prominent - shaken up and led 2f out - ridden out final furlong - readily(op 9/2 tchd 7/2)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,7,2,10,8,3.75,3.75,Arigato (GB),9/1,10.00,5,G,9-4,130,p,1:33.75,Josephine Gordon,William Jarvis,79,,,1395.62,Poets Voice (GB),Xtrasensory (GB),Royal Applause,Ms E L Banks,Prominent - ridden over 2f out - kept on but no match for winner(op 10/1 tchd 17/2)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,2,3,10,10,2.5,6.25,Balgair (GB),11/2,6.50,6,G,9-7,133,h,1:34.25,Jack Mitchell,Tom Clover,82,,,697.45,Foxwedge (AUS),Glencal (GB),Compton Place,Newmarket Racing Club Hqi,Held up in last - ridden over 2f out - kept on but never dangerous(op 13/2)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,5,4,10,3,.75,7,Casement (IRE),40/1,41.00,6,G,9-5,131,,1:34.40,Alistair Rawlinson,Michael Appleby,80,,,348.73,Casamento (IRE),Kirk Wynd (GB),Selkirk,On The Case Partnership,Disputed lead - ridden and headed 2f out - weakened gradually final furlong(op 33/1 tchd 50/1)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,1,5,10,2,.5,7.5,Buckingham (IRE),28/1,29.00,4,G,9-7,133,h1,1:34.50,Charles Bishop,Eve Johnson Houghton,82,,,,Clodovil (IRE),Lizzys Township (USA),Delaware Township,The Buckingham Partnership,Awkward start - towards rear - ridden 3f out - kept on but made no telling impression(op 16/1)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,3,6,10,9,4.5,12,Wind In My Sails (GB),33/1,34.00,8,G,9-6,132,,1:35.40,Luke Morris,Ed de Giles,81,,,,Footstepsinthesand (GB),Dylanesque (GB),Royal Applause,John Manser,Midfield - ridden 3f out - made no impression(op 25/1)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,9,7,10,5,0.1,12,Rum Baba (GB),9/2,5.50,4,G,9-4,130,,1:35.42,Kieran Shoemark,Charlie Fellowes,79,,,,New Approach (IRE),Soft Centre (GB),Zafonic,Normandie Stud Ltd,Disputed lead - ridden over 2f out - soon headed and weakened(op 7/2)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,8,8,10,7,1.5,13.5,City Wanderer (IRE),9/2,5.50,4,G,9-4,130,p,1:35.70,Silvestre De Sousa,Mick Channon,79,,,,Kodiac (GB),Viletta (GER),Doyen,George Materna Roger Badley,Pressed leaders - ridden 3f out - weakened from 2f out - eased final furlong (jockey said gelding hung left-handed up the straight)(tchd 4/1)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,6,9,10,4,2.75,16.25,First Response (GB),20/1,21.00,5,G,9-4,130,t,1:36.25,Robert Havlin,Linda Stubbs,79,,,,First Defence (USA),Promising Lead (GB),Danehill,D M Smith P G Shorrock L Stubbs,Prominent - ridden 3f out - soon weakened(op 25/1 tchd 28/1)
2020-06-03,yarmouth,4:15,Betway Heed Your Hunch Handicap,,Class 4,,0-82,4yo+,,1m,1763,1612,8f,Firm,10,10,10,6,13,29.25,Two Bids (GB),9/2,5.50,4,G,9-2,128,h1,1:38.85,James Doyle,William Haggas,77,,,,Dalakhani (IRE),Echelon (GB),Danehill,Sheikh Ahmed Al Maktoum,Took keen hold - midfield - niggled along 4f out - ridden 3f out - no response when eased over 1f out (jockey said gelding stopped quickly; trainers rep said the gelding was unsuited by the ground and would prefer a slower surface)(op 4/1 tchd 5/1)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,5,1,9,5,0,0,Mountain Dreams (USA),3/1,4.00,3,F,8-11,123,,1:35.31,Franny Norton,Mark Johnston,,,,4140.16,Temple City (USA),Pico Duarte (USA),Storm Cat,Sheikh Hamdan Bin Mohammed Al Maktoum,Close up - going okay and disputed lead 2f out - shaken up over 1f out - led final 110yds - cosily(tchd 11/4)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,6,2,9,6,.75,.75,Pretty Pickle (IRE),2/1F,3.00,3,F,8-8,120,h1,1:35.46,Cieren Fallon,William Haggas,,,,1232,Born To Sea (IRE),Onomatomania (USA),Mr Greeley,T J W Bridge,Midfield - going okay when ridden over 1f out - ran on but always held(op 13/8 tchd 9/4)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,3,3,9,2,.75,1.5,Habanero Star (GB),11/1,12.00,3,F,8-11,123,,1:35.61,Luke Morris,Gay Kelleway,,,,615.68,Mayson (GB),Highly Spiced (GB),Cadeaux Genereux,Premier Thoroughbred Racing Ltd,Prominent - going okay when disputed lead 2f out - soon ridden - kept on until no extra final 110yds(op 12/1)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,9,4,9,1,1.25,2.75,Topanticipation (GB),50/1,51.00,3,F,8-11,123,h1,1:35.86,Shane Kelly,James Eustace,,,,307.84,Mount Nelson (GB),Topatoo (GB),Bahamian Bounty,M P Bowring And R Smith,Dwelt start - in rear - nudged along and headway 3f out - midfield when bit short of room over 1f out - kept on but never dangerous(op 40/1)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,10,5,9,8,1.5,4.25,Wine Flight (GB),8/1,9.00,3,F,8-11,123,,1:36.16,Charles Bishop,Mick Channon,,,,,Gregorian (IRE),Amahoro (GB),Sixties Icon,Dave And Gill Hedley,Swerved right start - towards rear - ridden and some headway 2f out - never dangerous(op 18/1)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,4,6,9,10,3.25,7.5,Kesarina (GB),4/1,5.00,3,F,8-11,123,,1:36.81,Kieran Shoemark,Sir Michael Stoute,,,,,Medicean (GB),Kesara (GB),Sadlers Wells,Miss K Rausing,Carried right start - never better than mid-division(tchd 7/2)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,8,7,9,9,6.5,14,Sor Hi Hi (GB),10/1,11.00,3,F,8-11,123,,1:38.11,Hayley Turner,Charlie Fellowes,,,,,Mukhadram (GB),Miss Rimex (IRE),Ezzoud,D S Lee,Slowly away - always towards rear
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,2,8,9,3,1,15,Cazeva Princess (GB),16/1,17.00,3,F,8-11,123,,1:38.31,Ben Curtis,Michael Appleby,,,,,Equiano (FR),Enford Princess (GB),Pivotal,C A Blyth,Dwelt start - midfield - ridden 3f out - weakened from over 1f out(op 18/1)
2020-06-03,yarmouth,4:50,Betway Casino EBF Median Auction Maiden Fillies Stakes,,Class 5,,,3-5yo,F,1m,1763,1612,8f,Firm,1,9,9,4,16,31,Sung Choi Bao (GB),100/1,101.00,4,F,9-8,134,,1:41.51,Tim Clark,Jane Chapple-Hyam,54,,,,Casamento (IRE),Six Diamonds (GB),Exceed And Excel,Mrs Jane Chapple Hyam,Led - headed 2f out - soon weakened - eased final furlong (jockey said filly hung right-handed throughout and stopped quickly)(op 80/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,3,1,12,12,0,0,Inhalation (GB),7/1,8.00,3,G,9-4,130,,1:21.93,Hollie Doyle,Ed Vaughan,70,,,3493.26,Bated Breath (GB),Al Joudha (FR),Green Desert,C J Murfitt,Midfield - bumped after 2f - headway 3f out - ridden over 2f out - led over 1f out - ran on(op 13/2)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,7,2,12,2,2.75,2.75,Gladice (GB),8/1,9.00,3,F,9-3,129,,1:22.48,Silvestre De Sousa,Marco Botti,69,,,1039.50,Intello (GER),Amurra (GB),Oasis Dream,What A Time To Be Alive 1,Pressed leader - ridden over 2f out - kept on but no match for winner(op 11/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,12,3,12,9,0.2,3,Zulu Girl (GB),11/1,12.00,3,F,9-2,128,,1:22.57,Charles Bishop,Eve Johnson Houghton,68,,,519.48,Lethal Force (IRE),Upskittled (GB),Diktat,Trish Colin Fletcher Hall,Bumped start - soon led - ridden and headed 2f out - kept on(op 9/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,4,4,12,10,.5,3.5,Zim Baby (GB),8/1,9.00,3,F,9-1,127,,1:22.63,Theodore Ladd,Michael Appleby,70,,,259.74,Roderic OConnor (IRE),Kenyan Cat (GB),One Cool Cat,Fosnic Racing,Bumped start - raced freely - pressed leader - ridden and led 2f out - headed over 1f out - no extra towards finish(op 11/2)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,8,5,12,11,1.25,4.75,Ikebana (GB),6/1,7.00,3,F,9-3,129,,1:22.88,David Egan,Roger Varian,69,,,,Pivotal (GB),Sea The Bloom (GB),Sea The Stars,Cheveley Park Stud,Towards rear - ridden over 2f out - kept on but not pace to challenge(op 5/1 tchd 13/2)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,6,6,12,7,1.5,6.25,Robert Guiscard (IRE),9/2F,5.50,3,G,9-3,129,,1:23.18,Franny Norton,Mark Johnston,69,,,,Exceed And Excel (AUS),Beneventa (GB),Most Welcome,Kingsley Park 19   Ready To Run,Prominent - ridden and outpaced 3f out - always held
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,9,7,12,5,0.3,6.5,Vintage Polly (IRE),16/1,17.00,3,F,9-2,128,,1:23.23,James Doyle,Hugo Palmer,68,,,,Gutaifan (IRE),Payphone (GB),Anabaa,R W Hill Smith,Midfield - switched right and ridden over 2f out - made no impression(tchd 20/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,10,8,12,1,1.5,8,Diva Kareem (IRE),12/1,13.00,3,F,8-13,125,,1:23.53,Cieren Fallon,George Baker,68,,,,Al Kazeem (GB),Pennard (IRE),High Chaparral,Ftp Equine Holdings Ltd,Midfield - ridden over 2f out - no extra from over 1f out(op 10/1 tchd 9/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,11,9,12,4,.75,8.75,Internationaltiger (GB),12/1,13.00,3,C,9-2,128,,1:23.68,Tony Hamilton,Richard Fahey,68,,,,Garswood (GB),Elusive Sue (USA),Elusive Quality,P D Smith Holdings Ltd,Never better than mid-division(op 14/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,1,10,12,6,.5,9.25,Morning Shadow (GB),7/1,8.00,3,F,9-4,130,,1:23.78,P J McDonald,Mark Johnston,70,,,,New Approach (IRE),Elle Shade (GB),Shamardal,Sheikh Hamdan Bin Mohammed Al Maktoum,Close up - ridden and weakened from 3f out(op 11/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,2,11,12,3,4.25,13.5,Barking Mad (GB),40/1,41.00,3,G,9-4,130,,1:24.63,Ben Curtis,David Evans,70,,,,Due Diligence (USA),Jules (IRE),Danehill,Spiers Hartwell Ltd Mrs E Evans,Slowly away - took keen hold - always towards rear(op 33/1)
2020-06-03,yarmouth,5:25,Betway Handicap,,Class 5,,0-70,3yo,,7f,1543,1411,7f,Firm,5,12,12,8,.5,14,Tyler Durden (IRE),33/1,34.00,3,G,9-3,129,ht1,1:24.73,Stevie Donohoe,Richard Spencer,69,,,,Bungle Inthejungle (GB),Starfleet (GB),Inchinor,Rebel Racing Iii,Always towards rear(op 20/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,9,1,10,9,0,0,Lalania (GB),16/1,17.00,5,M,9-3,129,,1:22.34,Hollie Doyle,William Stone,71,,,3493.26,Kheleyf (USA),Georges Gift (GB),Haafhd,Miss Caroline Scott,Close up - soon against near rail - ridden over 2f out - ran on to lead towards finish(tchd 18/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,2,2,10,3,.5,.5,Narak (GB),100/30F,4.33,4,F,9-6,132,,1:22.44,James Doyle,George Scott,74,,,1039.50,Dubawi (IRE),Chachamaidee (IRE),Footstepsinthesand,R A H Evans,Slowly away - recovered and prominent early - led 2f out - ridden over 1f out - headed towards finish(op 5/2)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,1,3,10,7,.75,1.25,Golden Force (GB),17/2,9.50,4,G,9-7,133,v1,1:22.59,Stevie Donohoe,Charlie Fellowes,75,,,519.48,Lethal Force (IRE),Malilla (IRE),Red Clubs,A M Mitchell,Led - ridden and headed 2f out - kept on until no extra towards finish(op 13/2 tchd 10/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,7,4,10,5,.75,2,Casina Di Notte (IRE),11/2,6.50,6,G,9-1,127,,1:22.74,Cieren Fallon,Marco Botti,72,,,259.74,Casamento (IRE),Nightswimmer (IRE),Noverre,Mrs Lucie Botti,Tracked leaders - ridden over 2f out - kept on but always held(op 7/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,10,4,10,4,0,2,Global Hope (IRE),11/1,12.00,5,G,9-1,127,p,1:22.74,Luke Morris,Gay Kelleway,69,,,,Oasis Dream (GB),Classic Remark (IRE),Dr Fong,M Walker N Scandrett Partners,Stumbled soon after start - raced freely - midfield - ridden 2f out - always held(op 16/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,3,6,10,8,0.1,2,Martineo (GB),15/2,8.50,5,G,9-3,129,,1:22.76,Darragh Keenan,John Butler,74,,,,Declaration Of War (USA),Woodland Scene (IRE),Act One,Power Geneva Ltd,Midfield - soon against near rail - going okay but not clear run repeatedly from over 2f out - eyecatcher (jockey said gelding was denied a clear run approximately two furlongs out)(op 7/1 tchd 17/2)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,4,7,10,10,1,3,Mr Top Hat (GB),16/1,17.00,5,G,9-5,131,,1:22.94,Hector Crouch,David Evans,73,,,,Helmet (AUS),Tut (IRE),Intikhab,B Mccabe Mrs E Evans,Never better than mid-division(op 22/1 tchd 25/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,8,8,10,2,0.05,3.25,Pacino (GB),12/1,13.00,4,G,9-4,130,,1:23.00,Tony Hamilton,Richard Fahey,72,,,,Heeraat (IRE),Ringtail (USA),Street Cry,Dr Marwan Koukash,Close up - ridden 2f out - weakened from 1f out(op 14/1)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,6,9,10,1,2,5.25,Mount Wellington (IRE),7/1,8.00,5,G,9-4,130,ht,1:23.39,P J McDonald,Stuart Williams,72,,,,Invincible Spirit (IRE),Marvada (IRE),Elusive City,Gg Thoroughbreds Ix,Slowly away - always towards rear(tchd 13/2)
2020-06-03,yarmouth,6:00,Read Andrew Balding On Betway Insider Handicap,,Class 5,,0-75,4yo+,,7f,1543,1411,7f,Firm,5,10,10,6,4,9.25,Lady Dauphin (IRE),7/1,8.00,4,F,9-5,131,,1:24.19,Jack Mitchell,Simon Pearce,73,,,,Bungle Inthejungle (GB),Chateau Dauphin (USA),First Defence,The Johnsons,Slowly away - always towards rear - eased towards finish(tchd 15/2)
